CL645355	Aruba,Austria,Belarus,Belgium,Bosnia And Herzegovina,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Macedonia, The Former Yugoslav Republic Of,Montenegro,Netherlands,Netherlands Antilles,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom
CL3497	AU, JP, NZ
AT	Austria
CA	Canada
CL039	Europe
FR	France
CL075	Germany Austria Switzerland
JP	Japan
CL018	North America
CL1091	North America Excl. US
CL080	South East Asia
CL046	UK Ireland
GB	United Kingdom
US	United States
CL292	United States and Canada
UNV	Universe
CL197	World Excl. AW AT BY BE BA BG HR CZ DK EE FI FR DE GR HU IS IE IL IT LV LT LU MK NL AN NO PL PT RO RU RS ME SK SI ES SE CH GB
CL016	World Excl. Japan
CL052	World Excl. North America
CL006	World Excl. US
CL213	World Excl. US Canada
WWD	Worldwide
CL833	Worldwide Excl. AI, AS, BM, CA, FK, GB, GG, GI, GS, GU, IE, IM, IO, JE, KY, MP, MS, PN, PR, SH, TC, UM, US, VG, VI
CL281	Worldwide excl. Canada, United States
CL3571	Worldwide Excl. DK, RS, PL, IS, CZ, LT, LU, DE, GR, US, SE, SI, AT, BY, EE, HU, MK, RU, NL, AN, FI, FR, IT, ES, SK, BE, NO, ME, LV, GB, IL, BG, HR, IE, AW, CH, RO, PT, BA
CL5832	Worldwide excl. United States
CL3078	Worldwide excluding US, Canada and Japan
